Prov-nummer	Art	Kända resistensgener samt PVL	Känd MLST eller Spa-typ	AMRFinderPlus gener
MR130386-1	A. baumannii	tet_B_.1_AP000342, blaOXA_23, blaADC_25.1_EF016355, aph_6__Id.1_M28829, blaOXA_66.1_AY750909, sul2.2_AY034138, blaTEM_1D.1_AF188200, blaTEM_1_4d, blaOXA_23.1_AY795964, aph_3____Ib.5_AF321551, blaOXA_66, aph_3___Ia.7_X62115, blaTEM_118_AY130285.1	aST195, ST2	ant(3'')-IIa, blaADC-73, tet(B), aph(6)-Id, aph(3'')-Ib, parC_S84L, ftsI_A515V, blaOXA-66, blaOXA-23, blaTEM-1, aph(3')-Ia, sul2, gyrA_S81L
MR130386-2	A. baumannii	tet_B_.1_AP000342, aph_3___VIa.1_X07753, blaOXA_23, aadA1.5_JX185132, blaADC_25.1_EF016355, aph_6__Id.1_M28829, blaOXA_66.1_AY750909, sul2.2_AY034138, blaTEM_1D.1_AF188200, qacE.1_X68232, blaOXA_23.1_AY795964, sul1.2_U12338, blaTEM_1_4d, aac_3__Ia.1_X15852, aph_3____Ib.5_AF321551, blaOXA_66, blaTEM_118_AY130285.1	aST1114, ST2	ant(3'')-IIa, tet(B), aph(6)-Id, aph(3'')-Ib, blaADC-30, parC_S84L, blaOXA-66, gyrA_S81L, sul1, qacEdelta1, aadA1, aac(3)-Ia, blaOXA-23, blaTEM-1, sul2, aph(3')-VIa
NL160346	A. baumannii	tet_B_.1_AP000342, aph_3___VIa.1_X07753, blaOXA_23, blaADC_25.1_EF016355, aph_6__Id.1_M28829, ARR_2.1_HQ141279, cmlA1.1_M64556, ant_3____Ia.1_X02340, sul2.2_AY034138, sul1.2_U12338, qacE.1_X68232, blaOXA_23.1_AY795964, blaOXA_68.1_AY750910, aph_3____Ib.5_AF321551, blaOXA_66, mph_E_.1_DQ839391, msr_E_.1_FR751518, armA.1_AY220558	aST391, ST10	blaADC-76, blaOXA-68, parC_S84L, gyrA_S81L, arr-2, cmlA5, qacEdelta1, sul1, armA, msr(E), mph(E), blaOXA-23, tet(B), aph(6)-Id, aph(3'')-Ib, aph(3')-VIa, sul2, ant(3'')-IIa, ant(3'')-IIa
PY1604385	A. baumannii	tet_B_.1_AP000342, aph_3___VIa.1_X07753, blaOXA_23, blaADC_25.1_EF016355, aph_6__Id.1_M28829, ARR_2.1_HQ141279, cmlA1.1_M64556, ant_3____Ia.1_X02340, sul2.2_AY034138, sul1.2_U12338, qacE.1_X68232, blaOXA_23.1_AY795964, blaOXA_68.1_AY750910, aph_3____Ib.5_AF321551, blaOXA_66, mph_E_.1_DQ839391, msr_E_.1_FR751518, armA.1_AY220558	aST391, ST10	aph(6)-Id, aph(3'')-Ib, aph(3')-VIa, sul2, blaADC-76, gyrA_S81L, blaOXA-68, parC_S84L, mph(E), msr(E), armA, sul1, qacEdelta1, cmlA5, arr-2, blaOXA-23, ant(3'')-IIa, ant(3'')-IIa, tet(B)
CDO160115	C. difficile		aST33, ST33	blaCDD
CDO160117	C. difficile		aST55, ST55	blaCDD
CDO160118	C. difficile		aST49, ST49	blaCDD
CDO160123	C. difficile		aST49, ST49	blaCDD
CDO160127	C. difficile		aST49, ST49	blaCDD
MRR160069	E. cloacae	qnrA1.1_AY070235, blaOXA_48.1_AY236073, dfrA16.2_AF174129, tet_A_.4_AJ517790, qacE.1_X68232, blaSHV_12, blaOXA_48, mcr_9.1_NZ_NAAN01000063.1, blaSHV_12.1_KF976405, blaCTX_M_9_2d, blaSHV_165, aadA2b.1_D43625, aac_6___Ib3.1_X60321, blaACT_7, blaACT_7.1_FJ237368, ant_2____Ia.1_X04555, catA1.1_V00622, sul1.2_U12338, blaCTX_M_106, blaLEN15.1_AF452105, blaCTX_M_9.1_AF174129	aST141, ST141	blaACT-44, oqxB, oqxA, blaSHV-12, tet(A), aac(6')-Ib3, blaCTX-M-9, blaOXA-48, qnrA1, ant(2'')-Ia, catA1, dfrA16
PY1604185	E. cloacae	fosA.7_AEXB01000013, blaNDM_1, sul1.8_JN581942, blaTEM_1B.1_AY458016, blaNDM_1.1_FN396876, rmtC.1_AB194779, aph_6__Id.1_M28829, blaACT_7.1_FJ237368, sul2.2_AY034138, blaACT_7, blaTEM_1_2d, OqxB.1_EU370913_2, aph_3____Ib.5_AF321551, blaTEM_118_AY130285.1	aSTNovel	blaACT-75, oqxA, oqxB, fosA, ble, blaNDM-1, rmtC, sul1, sul1, sul2, aph(6)-Id, aph(3'')-Ib, blaTEM
