Sample	Species	Type	Sequence name	Repeats
HY161669	Staphylococcus aureus	t1339	NODE_7_length_160916_cov_55.006247	07-12-21-17-13-13-34-13-34-33-34
HY170610	Staphylococcus aureus	t386	NODE_1_length_603496_cov_73.658392	07-23-13
HY170721	Staphylococcus aureus	t386	NODE_3_length_325504_cov_77.479490	07-23-13
HY170908	Staphylococcus aureus	t386	NODE_2_length_1054587_cov_75.242798	07-23-13
HY170910	Staphylococcus aureus	t386	NODE_2_length_326076_cov_66.747339	07-23-13
HY171014	Staphylococcus aureus	t386	NODE_3_length_325964_cov_74.611098	07-23-13
HY171211	Staphylococcus aureus	t386	NODE_2_length_611624_cov_82.848150	07-23-13
HY171212	Staphylococcus aureus	t386	NODE_2_length_612449_cov_66.890863	07-23-13
HY175294	Staphylococcus aureus	t051	NODE_13_length_88376_cov_96.060647	11-19-21-12-21-17-34-24-34-22-25
HY175295	Staphylococcus aureus	t004	NODE_2_length_892140_cov_99.166764	09-02-16-13-13-17-34-16-34
HY175296	Staphylococcus aureus	t127	NODE_4_length_450947_cov_78.271492	07-23-21-16-34-33-13
HY175297	Staphylococcus aureus	t004	NODE_2_length_892375_cov_86.454124	09-02-16-13-13-17-34-16-34
HY175298	Staphylococcus aureus	t009	NODE_4_length_230346_cov_78.150027	11-12-21-17-34-24-34-22-24-34-22-33-25
HY175299	Staphylococcus aureus	t002	NODE_2_length_443774_cov_74.398633	26-23-17-34-17-20-17-12-17-16
HY175300	Staphylococcus aureus	t004	NODE_2_length_893152_cov_80.739548	09-02-16-13-13-17-34-16-34
HY175301	Staphylococcus aureus	t001	NODE_1_length_276948_cov_96.586155	26-30-17-34-17-20-17-12-17-16
HY175302	Staphylococcus aureus	t002	NODE_2_length_443674_cov_65.862529	26-23-17-34-17-20-17-12-17-16
HY176190	Staphylococcus aureus	t1339	NODE_2_length_718798_cov_91.997475	07-12-21-17-13-13-34-13-34-33-34
HY176242	Staphylococcus aureus	t088	NODE_2_length_348975_cov_72.775060	26-23-17-34-17-20-17-12-12-17-16
HY176435	Staphylococcus aureus	t1171	NODE_3_length_374142_cov_66.250335	11-19-12-17-34-24-34-22-25
HY176898	Staphylococcus aureus	t1028	NODE_3_length_384180_cov_58.821535	07-34-33-34
HY177532	Staphylococcus aureus	t3527	NODE_26_length_27434_cov_56.765372	04-20-17-02-17-25-34
PU117379	Staphylococcus aureus	t528	NODE_1_length_1061677_cov_90.932827	4
PY1704281	Staphylococcus aureus	t843	NODE_1_length_1061335_cov_71.422844	04-82-17-25-17-25-25-16-17
PY1704946	Staphylococcus aureus	t437	NODE_26_length_27440_cov_62.440889	04-20-17-20-17-25-34
PY1705269	Staphylococcus aureus	t16761	NODE_1_length_1107848_cov_63.805340	04-17-16-17
PY1706490	Staphylococcus aureus	t127	NODE_2_length_423385_cov_58.850982	07-23-21-16-34-33-13
PY1707502	Staphylococcus aureus	t044	NODE_4_length_241833_cov_35.099712	07-23-12-34-34-33-34
PY1707767	Staphylococcus aureus	t019	NODE_1_length_650785_cov_56.941133	08-16-02-16-02-25-17-24
SASPA17S-01	Staphylococcus aureus	t008	NODE_3_length_386908_cov_74.971841	11-19-12-21-17-34-24-34-22-25
SASPA17S-02	Staphylococcus aureus	t003	NODE_3_length_443591_cov_68.563144	26-17-20-17-12-17-17-16
SASPA17S-03	Staphylococcus aureus	t108	NODE_6_length_203987_cov_66.694413	08-16-02-25-24-25
SASPA17S-04	Staphylococcus aureus	t011	NODE_9_length_78135_cov_63.455120	08-16-02-25-34-24-25
SASPA17S-05	Staphylococcus aureus	t002	NODE_3_length_443566_cov_65.894342	26-23-17-34-17-20-17-12-17-16
SASPA17S-06	Staphylococcus aureus	t032	NODE_15_length_54757_cov_81.282885	26-23-23-13-23-31-29-17-31-29-17-25-17-25-16-28
Stam-146	Staphylococcus aureus	t438	NODE_1_length_686620_cov_77.607639	15-12-16-02-16-34-25-17-24
