Sample	Species	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
MR130386-1	Acinetobacter baumannii		NODE_10_length_162549_cov_68.168955	35601	36386	-	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN/SPECTINOMYCIN	BLASTX	262	262	100.0	98.85	262	WP_001279062.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa		
MR130386-1	Acinetobacter baumannii		NODE_11_length_131108_cov_62.319787	111530	112777	-	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTX	416	416	100.0	98.32	416	ADY84088.1	nickel resistance MFS transporter NreB		
MR130386-1	Acinetobacter baumannii		NODE_17_length_97265_cov_52.881118	136	1284	+	blaADC-73	class C extended-spectrum beta-lactamase ADC-73	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.0	100.0	383	WP_001211219.1	class C extended-spectrum beta-lactamase ADC-73		
MR130386-1	Acinetobacter baumannii		NODE_19_length_65663_cov_66.388153	127	1326	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	400	401	99.75	100.0	400	WP_001089072.1	tetracycline efflux MFS transporter Tet(B)		
MR130386-1	Acinetobacter baumannii		NODE_19_length_65663_cov_66.388153	4702	5535	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
MR130386-1	Acinetobacter baumannii		NODE_19_length_65663_cov_66.388153	5538	6338	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.0	100.0	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
MR130386-1	Acinetobacter baumannii		NODE_1_length_352216_cov_53.708508	12360	13754	-	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	465	465	100.0	100.0	465	AAL14441.1	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC		
MR130386-1	Acinetobacter baumannii		NODE_23_length_46928_cov_51.589026	33600	35075	-	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	492	492	100.0	98.98	492	ACQ82816.1	multidrug efflux MFS transporter AmvA		
MR130386-1	Acinetobacter baumannii		NODE_28_length_31969_cov_68.230105	18978	21194	+	parC_S84L	Acinetobacter baumannii quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	739	739	100.0	99.86	739	WP_000202259.1	DNA topoisomerase IV subunit A ParC		
MR130386-1	Acinetobacter baumannii		NODE_2_length_293070_cov_65.265478	108011	109840	+	ftsI_A515V	Acinetobacter baumannii carbapenem resistant FtsI	core	AMR	POINT	BETA-LACTAM	CARBAPENEM	POINTX	610	610	100.0	99.84	610	WP_000227936.1	penicillin-binding protein PBP3 ftsI		
